goid,definition,ontology,term,number_of_transctipts,transcripts_id
GO:0000079,"Any process that modulates the frequency, rate or extent of cyclin-dependent protein serine/threonine kinase activity.",BP,regulation of cyclin-dependent protein serine/threonine kinase activity,1,TRINITY_DN29597_c3_g1_i1
GO:0000086,The mitotic cell cycle transition by which a cell in G2 commits to M phase. The process begins when the kinase activity of M cyclin/CDK complex reaches a threshold high enough for the cell cycle to proceed. This is accomplished by activating a positive feedback loop that results in the accumulation of unphosphorylated and active M cyclin/CDK complex.,BP,G2/M transition of mitotic cell cycle,1,TRINITY_DN29597_c3_g1_i1
GO:0001878,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from a yeast species.",BP,response to yeast,1,TRINITY_DN34069_c0_g1_i3
GO:0003333,"The directed movement of amino acids, organic acids containing one or more amino substituents across a membrane by means of some agent such as a transporter or pore.",BP,amino acid transmembrane transport,1,TRINITY_DN24731_c0_g1_i2
GO:0003407,The progression of the neural retina over time from its initial formation to the mature structure. The neural retina is the part of the retina that contains neurons and photoreceptor cells.,BP,neural retina development,1,TRINITY_DN21751_c0_g1_i1
GO:0006355,"Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription.",BP,"regulation of transcription, DNA-templated",1,TRINITY_DN26805_c5_g1_i2
GO:0006357,"Any process that modulates the frequency, rate or extent of transcription from an RNA polymerase II promoter.",BP,regulation of transcription from RNA polymerase II promoter,2,"TRINITY_DN26805_c5_g1_i2,TRINITY_DN21751_c0_g1_i1"
GO:0006695,"The chemical reactions and pathways resulting in the formation of cholesterol, cholest-5-en-3 beta-ol, the principal sterol of vertebrates and the precursor of many steroids, including bile acids and steroid hormones.",BP,cholesterol biosynthetic process,4,"TRINITY_DN36387_c3_g1_i2,TRINITY_DN36387_c3_g1_i1,TRINITY_DN32057_c4_g1_i3,TRINITY_DN34646_c0_g1_i4"
GO:0006725,"The chemical reactions and pathways involving aromatic compounds, any organic compound characterized by one or more planar rings, each of which contains conjugated double bonds and delocalized pi electrons, as carried out by individual cells.",BP,cellular aromatic compound metabolic process,1,TRINITY_DN34646_c0_g1_i10
GO:0006814,"The directed movement of sodium ions (Na+) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",BP,sodium ion transport,1,TRINITY_DN24731_c0_g1_i2
GO:0006816,"The directed movement of calcium (Ca) ions into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",BP,calcium ion transport,1,TRINITY_DN21751_c0_g1_i1
GO:0006874,Any process involved in the maintenance of an internal steady state of calcium ions at the level of a cell.,BP,cellular calcium ion homeostasis,1,TRINITY_DN21751_c0_g1_i1
GO:0006887,"A process of secretion by a cell that results in the release of intracellular molecules (e.g. hormones, matrix proteins) contained within a membrane-bounded vesicle. Exocytosis can occur either by full fusion, when the vesicle collapses into the plasma membrane, or by a kiss-and-run mechanism that involves the formation of a transient contact, a pore, between a granule (for exemple of chromaffin cells) and the plasma membrane. The latter process most of the time leads to only partial secretion of the granule content. Exocytosis begins with steps that prepare vesicles for fusion with the membrane (tethering and docking) and ends when molecules are secreted from the cell.",BP,exocytosis,1,TRINITY_DN38687_c3_g2_i4
GO:0006888,"The directed movement of substances from the endoplasmic reticulum (ER) to the Golgi, mediated by COP II vesicles. Small COP II coated vesicles form from the ER and then fuse directly with the cis-Golgi. Larger structures are transported along microtubules to the cis-Golgi.",BP,ER to Golgi vesicle-mediated transport,1,TRINITY_DN38687_c3_g2_i4
GO:0007010,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures.",BP,cytoskeleton organization,1,TRINITY_DN38687_c3_g2_i4
GO:0007050,"A regulatory process that halts progression through the cell cycle during one of the normal phases (G1, S, G2, M).",BP,cell cycle arrest,1,TRINITY_DN29597_c3_g1_i1
GO:0007093,A cell cycle checkpoint that ensures accurate chromosome replication and segregation by preventing progression through a mitotic cell cycle until conditions are suitable for the cell to proceed to the next stage.,BP,mitotic cell cycle checkpoint,1,TRINITY_DN29597_c3_g1_i1
GO:0007165,"The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell.",BP,signal transduction,1,TRINITY_DN38687_c3_g2_i4
GO:0007283,"The process of formation of spermatozoa, including spermatocytogenesis and spermiogenesis.",BP,spermatogenesis,1,TRINITY_DN21751_c0_g1_i1
