,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
100µl per well (Injector 1) 2sec. ,100µl per well (Injector 2) 2sec. 1 repeat. 96 well plate,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12
3809840,3382800,4212040,3678350,4493130,3934890,3241540,4139630,3928450,2244000,2856720,1850710
3859030,4338070,4621550,4377230,3869940,5049780,4584570,4608730,4117040,2331050,2509350,1425970
3206370,4865880,5018870,244525,4997740,4794460,6839760,7050670,6686730,3255650,4805800,2442900
3657540,3475260,4506950,3683570,4018470,4397140,4195380,4816460,4656280,3338290,3730470,3073600
X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X
,,,,,,,,,,,
,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12
1.82465E+07,1.64154E+07,1.92162E+07,1.79874E+07,1.8847E+07,1.62393E+07,1.08197E+07,1.39613E+07,1.38558E+07,7933590,1.11498E+07,7514590
1.95931E+07,2.01319E+07,2.22928E+07,2.1932E+07,1.84048E+07,2.20757E+07,1.19905E+07,1.31008E+07,1.27291E+07,5746230,7081330,4195890
1.24408E+07,1.77793E+07,1.88683E+07,928400,1.97998E+07,1.81763E+07,1.86153E+07,1.97786E+07,1.77211E+07,9099610,1.24932E+07,9125660
1.75417E+07,1.62609E+07,1.98391E+07,1.76295E+07,1.9755E+07,2.07803E+07,1.49167E+07,1.65891E+07,1.75597E+07,1.00204E+07,1.28686E+07,1.13152E+07
X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X
