Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A12,NTC,ssa-miR-122-F-5p,Unknown,Undetermined,,,,,,73.70
C1,K6.1d.E,ssa-miR-122-F-5p,Unknown,30.58,0.313,,,,,75.50
C2,K6.1d.E,ssa-miR-122-F-5p,Unknown,30.14,0.313,,,,,75.50
C3,MC6.1d.E,ssa-miR-122-F-5p,Unknown,30.22,0.229,,,,,75.50
C4,MC6.1d.E,ssa-miR-122-F-5p,Unknown,29.89,0.229,,,,,75.80
C5,K6.1d.OE,ssa-miR-122-F-5p,Unknown,27.26,0.061,,,,,75.80
C6,K6.1d.OE,ssa-miR-122-F-5p,Unknown,27.34,0.061,,,,,75.50
C7,MC6.1d.OE,ssa-miR-122-F-5p,Unknown,29.12,0.331,,,,,75.80
C8,MC6.1d.OE,ssa-miR-122-F-5p,Unknown,28.65,0.331,,,,,75.50
C9,K6.1d.A,ssa-miR-122-F-5p,Unknown,32.54,0.218,,,,,75.50
C10,K6.1d.A,ssa-miR-122-F-5p,Unknown,32.85,0.218,,,,,75.50
C11,MC6.1d.A,ssa-miR-122-F-5p,Unknown,33.14,0.544,,,,,75.10
C12,MC6.1d.A,ssa-miR-122-F-5p,Unknown,33.91,0.544,,,,,74.80
D1,K5.1d.E,ssa-miR-122-F-5p,Unknown,32.92,0.104,,,,,75.50
D2,K5.1d.E,ssa-miR-122-F-5p,Unknown,32.77,0.104,,,,,75.50
D3,MC5.1d.E,ssa-miR-122-F-5p,Unknown,29.46,0.009,,,,,75.80
D4,MC5.1d.E,ssa-miR-122-F-5p,Unknown,29.47,0.009,,,,,75.80
D5,K5.1d.OE,ssa-miR-122-F-5p,Unknown,31.26,0.067,,,,,75.80
D6,K5.1d.OE,ssa-miR-122-F-5p,Unknown,31.17,0.067,,,,,75.80
D7,MC5.1d.OE,ssa-miR-122-F-5p,Unknown,30.06,0.060,,,,,75.80
D8,MC5.1d.OE,ssa-miR-122-F-5p,Unknown,30.15,0.060,,,,,75.50
D9,K5.1d.A,ssa-miR-122-F-5p,Unknown,29.74,0.167,,,,,75.50
D10,K5.1d.A,ssa-miR-122-F-5p,Unknown,29.97,0.167,,,,,75.50
D11,MC5.1d.A,ssa-miR-122-F-5p,Unknown,34.17,0.106,,,,,75.10
D12,MC5.1d.A,ssa-miR-122-F-5p,Unknown,34.32,0.106,,,,,75.10
E1,K4.1d.E,ssa-miR-122-F-5p,Unknown,31.73,0.065,,,,,75.50
E2,K4.1d.E,ssa-miR-122-F-5p,Unknown,31.64,0.065,,,,,75.50
E3,MC4.1d.E,ssa-miR-122-F-5p,Unknown,23.25,0.112,,,,,75.80
E4,MC4.1d.E,ssa-miR-122-F-5p,Unknown,23.09,0.112,,,,,76.20
E5,K4.1d.OE,ssa-miR-122-F-5p,Unknown,29.07,0.097,,,,,75.80
E6,K4.1d.OE,ssa-miR-122-F-5p,Unknown,28.93,0.097,,,,,75.80
E7,MC4.1d.OE,ssa-miR-122-F-5p,Unknown,22.92,0.062,,,,,75.80
E8,MC4.1d.OE,ssa-miR-122-F-5p,Unknown,23.01,0.062,,,,,75.80
E9,K4.1d.A,ssa-miR-122-F-5p,Unknown,33.40,0.001,,,,,75.50
E10,K4.1d.A,ssa-miR-122-F-5p,Unknown,33.40,0.001,,,,,75.50
E11,MC4.1d.A,ssa-miR-122-F-5p,Unknown,26.78,0.089,,,,,75.50
E12,MC4.1d.A,ssa-miR-122-F-5p,Unknown,26.91,0.089,,,,,75.10
F1,K3.1d.E,ssa-miR-122-F-5p,Unknown,35.47,0.537,,,,,75.50
F2,K3.1d.E,ssa-miR-122-F-5p,Unknown,34.71,0.537,,,,,75.50
F3,MC3.1d.E,ssa-miR-122-F-5p,Unknown,22.40,0.030,,,,,75.80
F4,MC3.1d.E,ssa-miR-122-F-5p,Unknown,22.45,0.030,,,,,75.80
F5,K3.1d.OE,ssa-miR-122-F-5p,Unknown,33.50,0.405,,,,,75.80
F6,K3.1d.OE,ssa-miR-122-F-5p,Unknown,34.07,0.405,,,,,75.80
F7,MC3.1d.OE,ssa-miR-122-F-5p,Unknown,23.32,0.023,,,,,75.80
F8,MC3.1d.OE,ssa-miR-122-F-5p,Unknown,23.29,0.023,,,,,75.80
F9,K3.1d.A,ssa-miR-122-F-5p,Unknown,33.94,0.643,,,,,75.50
F10,K3.1d.A,ssa-miR-122-F-5p,Unknown,34.85,0.643,,,,,75.10
F11,MC3.1d.A,ssa-miR-122-F-5p,Unknown,26.68,0.183,,,,,75.10
F12,MC3.1d.A,ssa-miR-122-F-5p,Unknown,26.94,0.183,,,,,75.10
G1,K2.1d.E,ssa-miR-122-F-5p,Unknown,34.28,0.701,,,,,75.50
G2,K2.1d.E,ssa-miR-122-F-5p,Unknown,35.27,0.701,,,,,75.50
G3,MC2.1d.E,ssa-miR-122-F-5p,Unknown,24.70,0.071,,,,,75.50
G4,MC2.1d.E,ssa-miR-122-F-5p,Unknown,24.60,0.071,,,,,75.50
G5,K2.1d.OE,ssa-miR-122-F-5p,Unknown,33.56,0.499,,,,,75.50
G6,K2.1d.OE,ssa-miR-122-F-5p,Unknown,34.27,0.499,,,,,75.50
G7,MC2.1d.OE,ssa-miR-122-F-5p,Unknown,22.82,0.039,,,,,75.80
G8,MC2.1d.OE,ssa-miR-122-F-5p,Unknown,22.77,0.039,,,,,75.50
G9,K2.1d.A,ssa-miR-122-F-5p,Unknown,33.36,0.832,,,,,75.10
G10,K2.1d.A,ssa-miR-122-F-5p,Unknown,34.53,0.832,,,,,74.80
G11,MC2.1d.A,ssa-miR-122-F-5p,Unknown,27.94,0.103,,,,,75.10
G12,MC2.1d.A,ssa-miR-122-F-5p,Unknown,28.08,0.103,,,,,74.80
H1,K1.1d.E,ssa-miR-122-F-5p,Unknown,34.74,0.238,,,,,75.10
H2,K1.1d.E,ssa-miR-122-F-5p,Unknown,35.08,0.238,,,,,75.10
H3,MC1.1d.E,ssa-miR-122-F-5p,Unknown,23.20,0.006,,,,,75.50
H4,MC1.1d.E,ssa-miR-122-F-5p,Unknown,23.21,0.006,,,,,75.50
H5,K1.1d.OE,ssa-miR-122-F-5p,Unknown,35.07,1.047,,,,,75.50
H6,K1.1d.OE,ssa-miR-122-F-5p,Unknown,33.59,1.047,,,,,75.50
H7,MC1.1d.OE,ssa-miR-122-F-5p,Unknown,25.00,0.108,,,,,75.50
H8,MC1.1d.OE,ssa-miR-122-F-5p,Unknown,25.15,0.108,,,,,75.50
H9,K1.1d.A,ssa-miR-122-F-5p,Unknown,32.86,0.035,,,,,75.10
H10,K1.1d.A,ssa-miR-122-F-5p,Unknown,32.91,0.035,,,,,75.10
H11,MC1.1d.A,ssa-miR-122-F-5p,Unknown,27.24,0.063,,,,,75.10
H12,MC1.1d.A,ssa-miR-122-F-5p,Unknown,27.15,0.063,,,,,74.80
