Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A1,K1.1d.A,ssa-miR-21-21a-5p,Unknown,32.64,0.269,,,,,74.80
A2,K2.1d.A,ssa-miR-21-21a-5p,Unknown,31.70,0.551,,,,,74.80
A3,K3.1d.A,ssa-miR-21-21a-5p,Unknown,31.23,0.050,,,,,74.50
A4,K4.1d.A,ssa-miR-21-21a-5p,Unknown,32.54,1.006,,,,,75.10
A5,K5.1d.A,ssa-miR-21-21a-5p,Unknown,30.48,0.046,,,,,74.80
A6,K6.1d.A,ssa-miR-21-21a-5p,Unknown,32.07,0.690,,,,,74.80
A7,MC1.1d.A,ssa-miR-21-21a-5p,Unknown,24.44,0.863,,,,,75.10
A8,MC2.1d.A,ssa-miR-21-21a-5p,Unknown,27.24,0.156,,,,,75.10
A9,MC3.1d.A,ssa-miR-21-21a-5p,Unknown,31.68,0.084,,,,,74.80
A10,MC4.1d.A,ssa-miR-21-21a-5p,Unknown,29.32,0.106,,,,,74.50
A11,MC5.1d.A,ssa-miR-21-21a-5p,Unknown,29.87,0.394,,,,,74.50
A12,MC6.1d.A,ssa-miR-21-21a-5p,Unknown,30.65,,,,,,74.10
B1,K1.1d.A,ssa-miR-21-21a-5p,Unknown,33.02,0.269,,,,,74.80
B2,K2.1d.A,ssa-miR-21-21a-5p,Unknown,30.92,0.551,,,,,74.80
B3,K3.1d.A,ssa-miR-21-21a-5p,Unknown,31.16,0.050,,,,,74.80
B4,K4.1d.A,ssa-miR-21-21a-5p,Unknown,31.12,1.006,,,,,75.10
B5,K5.1d.A,ssa-miR-21-21a-5p,Unknown,30.42,0.046,,,,,75.10
B6,K6.1d.A,ssa-miR-21-21a-5p,Unknown,31.09,0.690,,,,,74.80
B7,MC1.1d.A,ssa-miR-21-21a-5p,Unknown,25.66,0.863,,,,,75.50
B8,MC2.1d.A,ssa-miR-21-21a-5p,Unknown,27.02,0.156,,,,,75.10
B9,MC3.1d.A,ssa-miR-21-21a-5p,Unknown,31.56,0.084,,,,,75.10
B10,MC4.1d.A,ssa-miR-21-21a-5p,Unknown,29.47,0.106,,,,,74.80
B11,MC5.1d.A,ssa-miR-21-21a-5p,Unknown,29.31,0.394,,,,,74.10
C1,K6.1d.E,ssa-miR-21a-3p,Unknown,36.36,0.090,,,,,76.60
C2,K6.1d.E,ssa-miR-21a-3p,Unknown,36.49,0.090,,,,,76.20
C3,MC6.1d.E,ssa-miR-21a-3p,Unknown,34.36,0.362,,,,,76.60
C4,MC6.1d.E,ssa-miR-21a-3p,Unknown,33.84,0.362,,,,,76.60
C5,K6.1d.A,ssa-miR-21a-3p,Unknown,38.60,0.329,,,,,76.60
C6,K6.1d.A,ssa-miR-21a-3p,Unknown,38.14,0.329,,,,,76.60
C7,MC6.1d.A,ssa-miR-21a-3p,Unknown,38.07,0.110,,,,,76.60
C8,MC6.1d.A,ssa-miR-21a-3p,Unknown,38.22,0.110,,,,,76.60
