Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A12,NTC,ssa-miR-221-3p,Unknown,Undetermined,,,,,,72.70
C1,K6.1d.E,ssa-miR-221-3p,Unknown,32.20,0.291,,,,,76.50
C2,K6.1d.E,ssa-miR-221-3p,Unknown,31.79,0.291,,,,,76.50
C3,MC6.1d.E,ssa-miR-221-3p,Unknown,31.77,0.048,,,,,76.90
C4,MC6.1d.E,ssa-miR-221-3p,Unknown,31.70,0.048,,,,,76.90
C5,K6.1d.OE,ssa-miR-221-3p,Unknown,31.90,0.036,,,,,76.90
C6,K6.1d.OE,ssa-miR-221-3p,Unknown,31.85,0.036,,,,,76.90
C7,MC6.1d.OE,ssa-miR-221-3p,Unknown,31.77,0.267,,,,,76.90
C8,MC6.1d.OE,ssa-miR-221-3p,Unknown,31.40,0.267,,,,,76.90
C9,K6.1d.A,ssa-miR-221-3p,Unknown,31.55,0.091,,,,,76.90
C10,K6.1d.A,ssa-miR-221-3p,Unknown,31.42,0.091,,,,,76.50
C11,MC6.1d.A,ssa-miR-221-3p,Unknown,31.71,0.252,,,,,76.50
C12,MC6.1d.A,ssa-miR-221-3p,Unknown,32.07,0.252,,,,,76.20
D1,K5.1d.E,ssa-miR-221-3p,Unknown,32.20,0.326,,,,,76.90
D2,K5.1d.E,ssa-miR-221-3p,Unknown,31.74,0.326,,,,,76.90
D3,MC5.1d.E,ssa-miR-221-3p,Unknown,31.93,0.140,,,,,76.90
D4,MC5.1d.E,ssa-miR-221-3p,Unknown,32.13,0.140,,,,,76.90
D5,K5.1d.OE,ssa-miR-221-3p,Unknown,31.57,0.107,,,,,76.90
D6,K5.1d.OE,ssa-miR-221-3p,Unknown,31.72,0.107,,,,,76.90
D7,MC5.1d.OE,ssa-miR-221-3p,Unknown,32.20,0.139,,,,,76.90
D8,MC5.1d.OE,ssa-miR-221-3p,Unknown,32.00,0.139,,,,,76.90
D9,K5.1d.A,ssa-miR-221-3p,Unknown,31.26,0.064,,,,,76.90
D10,K5.1d.A,ssa-miR-221-3p,Unknown,31.35,0.064,,,,,76.90
D11,MC5.1d.A,ssa-miR-221-3p,Unknown,31.66,0.461,,,,,76.50
D12,MC5.1d.A,ssa-miR-221-3p,Unknown,32.32,0.461,,,,,75.80
E1,K4.1d.E,ssa-miR-221-3p,Unknown,31.71,0.035,,,,,76.90
E2,K4.1d.E,ssa-miR-221-3p,Unknown,31.76,0.035,,,,,76.90
E3,MC4.1d.E,ssa-miR-221-3p,Unknown,31.34,0.191,,,,,76.90
E4,MC4.1d.E,ssa-miR-221-3p,Unknown,31.61,0.191,,,,,76.90
E5,K4.1d.OE,ssa-miR-221-3p,Unknown,31.87,0.006,,,,,76.90
E6,K4.1d.OE,ssa-miR-221-3p,Unknown,31.88,0.006,,,,,76.90
E7,MC4.1d.OE,ssa-miR-221-3p,Unknown,31.12,0.034,,,,,76.90
E8,MC4.1d.OE,ssa-miR-221-3p,Unknown,31.07,0.034,,,,,76.90
E9,K4.1d.A,ssa-miR-221-3p,Unknown,31.25,0.023,,,,,76.90
E10,K4.1d.A,ssa-miR-221-3p,Unknown,31.22,0.023,,,,,76.90
E11,MC4.1d.A,ssa-miR-221-3p,Unknown,31.62,0.375,,,,,76.50
E12,MC4.1d.A,ssa-miR-221-3p,Unknown,32.15,0.375,,,,,76.20
F1,K3.1d.E,ssa-miR-221-3p,Unknown,31.99,0.030,,,,,76.50
F2,K3.1d.E,ssa-miR-221-3p,Unknown,31.95,0.030,,,,,76.50
F3,MC3.1d.E,ssa-miR-221-3p,Unknown,31.76,0.209,,,,,76.90
F4,MC3.1d.E,ssa-miR-221-3p,Unknown,31.46,0.209,,,,,76.90
F5,K3.1d.OE,ssa-miR-221-3p,Unknown,31.74,0.166,,,,,76.90
F6,K3.1d.OE,ssa-miR-221-3p,Unknown,31.98,0.166,,,,,76.90
F7,MC3.1d.OE,ssa-miR-221-3p,Unknown,31.36,0.456,,,,,76.90
F8,MC3.1d.OE,ssa-miR-221-3p,Unknown,32.01,0.456,,,,,76.90
F9,K3.1d.A,ssa-miR-221-3p,Unknown,31.52,0.071,,,,,76.90
F10,K3.1d.A,ssa-miR-221-3p,Unknown,31.42,0.071,,,,,76.50
F11,MC3.1d.A,ssa-miR-221-3p,Unknown,31.72,0.354,,,,,76.50
F12,MC3.1d.A,ssa-miR-221-3p,Unknown,32.22,0.354,,,,,76.20
G1,K2.1d.E,ssa-miR-221-3p,Unknown,31.83,0.008,,,,,76.50
G2,K2.1d.E,ssa-miR-221-3p,Unknown,31.81,0.008,,,,,76.50
G3,MC2.1d.E,ssa-miR-221-3p,Unknown,30.94,0.078,,,,,76.50
G4,MC2.1d.E,ssa-miR-221-3p,Unknown,31.05,0.078,,,,,76.50
G5,K2.1d.OE,ssa-miR-221-3p,Unknown,31.63,0.046,,,,,76.90
G6,K2.1d.OE,ssa-miR-221-3p,Unknown,31.69,0.046,,,,,76.90
G7,MC2.1d.OE,ssa-miR-221-3p,Unknown,28.73,0.102,,,,,75.80
G8,MC2.1d.OE,ssa-miR-221-3p,Unknown,28.59,0.102,,,,,75.80
G9,K2.1d.A,ssa-miR-221-3p,Unknown,31.89,0.219,,,,,76.50
G10,K2.1d.A,ssa-miR-221-3p,Unknown,31.58,0.219,,,,,76.50
G11,MC2.1d.A,ssa-miR-221-3p,Unknown,32.25,0.544,,,,,76.20
G12,MC2.1d.A,ssa-miR-221-3p,Unknown,31.49,0.544,,,,,76.20
H1,K1.1d.E,ssa-miR-221-3p,Unknown,32.18,0.056,,,,,76.20
H2,K1.1d.E,ssa-miR-221-3p,Unknown,32.26,0.056,,,,,76.50
H3,MC1.1d.E,ssa-miR-221-3p,Unknown,29.60,0.077,,,,,75.80
H4,MC1.1d.E,ssa-miR-221-3p,Unknown,29.71,0.077,,,,,76.20
H5,K1.1d.OE,ssa-miR-221-3p,Unknown,32.30,0.393,,,,,76.50
H6,K1.1d.OE,ssa-miR-221-3p,Unknown,31.74,0.393,,,,,76.50
H7,MC1.1d.OE,ssa-miR-221-3p,Unknown,29.80,0.010,,,,,76.20
H8,MC1.1d.OE,ssa-miR-221-3p,Unknown,29.81,0.010,,,,,76.20
H9,K1.1d.A,ssa-miR-221-3p,Unknown,31.68,0.055,,,,,76.50
H10,K1.1d.A,ssa-miR-221-3p,Unknown,31.75,0.055,,,,,76.50
H11,MC1.1d.A,ssa-miR-221-3p,Unknown,31.71,0.011,,,,,76.20
H12,MC1.1d.A,ssa-miR-221-3p,Unknown,31.69,0.011,,,,,75.80
