Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A12,NTC,mir-92a,Unknown,41.28,,,,,,72.00
C1,K6.1d.E,mir-92a,Unknown,29.62,0.316,,,,,76.20
C2,K6.1d.E,mir-92a,Unknown,29.17,0.316,,,,,76.60
C3,MC6.1d.E,mir-92a,Unknown,26.64,0.021,,,,,76.60
C4,MC6.1d.E,mir-92a,Unknown,26.61,0.021,,,,,76.60
C5,K6.1d.OE,mir-92a,Unknown,26.42,0.028,,,,,76.60
C6,K6.1d.OE,mir-92a,Unknown,26.38,0.028,,,,,76.20
C7,MC6.1d.OE,mir-92a,Unknown,25.87,0.002,,,,,76.60
C8,MC6.1d.OE,mir-92a,Unknown,25.87,0.002,,,,,76.60
C9,K6.1d.A,mir-92a,Unknown,34.00,0.340,,,,,76.20
C10,K6.1d.A,mir-92a,Unknown,33.52,0.340,,,,,76.20
C11,MC6.1d.A,mir-92a,Unknown,32.22,0.353,,,,,75.90
C12,MC6.1d.A,mir-92a,Unknown,32.72,0.353,,,,,75.90
D1,K5.1d.E,mir-92a,Unknown,28.56,0.105,,,,,76.60
D2,K5.1d.E,mir-92a,Unknown,28.71,0.105,,,,,76.60
D3,MC5.1d.E,mir-92a,Unknown,25.56,0.010,,,,,76.60
D4,MC5.1d.E,mir-92a,Unknown,25.58,0.010,,,,,76.60
D5,K5.1d.OE,mir-92a,Unknown,26.66,0.170,,,,,76.60
D6,K5.1d.OE,mir-92a,Unknown,26.42,0.170,,,,,76.60
D7,MC5.1d.OE,mir-92a,Unknown,25.43,0.024,,,,,76.60
D8,MC5.1d.OE,mir-92a,Unknown,25.39,0.024,,,,,76.60
D10,K5.1d.A,mir-92a,Unknown,33.07,,,,,,76.20
D11,MC5.1d.A,mir-92a,Unknown,32.03,0.033,,,,,76.20
D12,MC5.1d.A,mir-92a,Unknown,31.98,0.033,,,,,75.90
E1,K4.1d.E,mir-92a,Unknown,27.63,0.093,,,,,76.20
E2,K4.1d.E,mir-92a,Unknown,27.76,0.093,,,,,76.60
E3,MC4.1d.E,mir-92a,Unknown,25.87,0.064,,,,,76.60
E4,MC4.1d.E,mir-92a,Unknown,25.96,0.064,,,,,76.90
E5,K4.1d.OE,mir-92a,Unknown,26.62,0.060,,,,,76.90
E6,K4.1d.OE,mir-92a,Unknown,26.54,0.060,,,,,76.60
E7,MC4.1d.OE,mir-92a,Unknown,25.35,0.038,,,,,76.60
E8,MC4.1d.OE,mir-92a,Unknown,25.40,0.038,,,,,76.20
E9,K4.1d.A,mir-92a,Unknown,34.91,0.267,,,,,76.60
E10,K4.1d.A,mir-92a,Unknown,35.29,0.267,,,,,76.20
E11,MC4.1d.A,mir-92a,Unknown,31.85,0.077,,,,,76.20
