Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A12,NTC,ssa-miR-92b-3p,Unknown,43.26,,,,,,75.10
C1,K6.1d.E,ssa-miR-92b-3p,Unknown,31.12,0.741,,,,,77.20
C2,K6.1d.E,ssa-miR-92b-3p,Unknown,30.07,0.741,,,,,77.20
C3,MC6.1d.E,ssa-miR-92b-3p,Unknown,31.79,0.168,,,,,77.50
C4,MC6.1d.E,ssa-miR-92b-3p,Unknown,31.55,0.168,,,,,77.20
C5,K6.1d.OE,ssa-miR-92b-3p,Unknown,29.63,0.162,,,,,77.20
C6,K6.1d.OE,ssa-miR-92b-3p,Unknown,29.40,0.162,,,,,77.20
C7,MC6.1d.OE,ssa-miR-92b-3p,Unknown,31.01,0.133,,,,,77.50
C8,MC6.1d.OE,ssa-miR-92b-3p,Unknown,30.82,0.133,,,,,77.50
C9,K6.1d.A,ssa-miR-92b-3p,Unknown,32.41,0.413,,,,,77.20
C10,K6.1d.A,ssa-miR-92b-3p,Unknown,31.83,0.413,,,,,77.20
C11,MC6.1d.A,ssa-miR-92b-3p,Unknown,34.58,0.953,,,,,77.20
C12,MC6.1d.A,ssa-miR-92b-3p,Unknown,35.93,0.953,,,,,76.50
D1,K5.1d.E,ssa-miR-92b-3p,Unknown,30.67,0.045,,,,,77.50
D2,K5.1d.E,ssa-miR-92b-3p,Unknown,30.61,0.045,,,,,77.20
D3,MC5.1d.E,ssa-miR-92b-3p,Unknown,29.71,0.046,,,,,77.50
D4,MC5.1d.E,ssa-miR-92b-3p,Unknown,29.77,0.046,,,,,77.50
D5,K5.1d.OE,ssa-miR-92b-3p,Unknown,28.97,0.226,,,,,77.50
D6,K5.1d.OE,ssa-miR-92b-3p,Unknown,28.65,0.226,,,,,77.50
D7,MC5.1d.OE,ssa-miR-92b-3p,Unknown,30.55,0.087,,,,,77.20
D8,MC5.1d.OE,ssa-miR-92b-3p,Unknown,30.42,0.087,,,,,77.20
D9,K5.1d.A,ssa-miR-92b-3p,Unknown,33.14,0.490,,,,,77.50
D10,K5.1d.A,ssa-miR-92b-3p,Unknown,32.44,0.490,,,,,77.50
D11,MC5.1d.A,ssa-miR-92b-3p,Unknown,33.90,0.079,,,,,77.20
D12,MC5.1d.A,ssa-miR-92b-3p,Unknown,34.02,0.079,,,,,76.80
E1,K4.1d.E,ssa-miR-92b-3p,Unknown,31.92,0.147,,,,,76.80
E2,K4.1d.E,ssa-miR-92b-3p,Unknown,31.71,0.147,,,,,77.50
E3,MC4.1d.E,ssa-miR-92b-3p,Unknown,28.35,0.006,,,,,77.50
E4,MC4.1d.E,ssa-miR-92b-3p,Unknown,28.34,0.006,,,,,77.50
E5,K4.1d.OE,ssa-miR-92b-3p,Unknown,29.47,0.011,,,,,77.50
E6,K4.1d.OE,ssa-miR-92b-3p,Unknown,29.48,0.011,,,,,77.50
E7,MC4.1d.OE,ssa-miR-92b-3p,Unknown,30.61,0.017,,,,,77.20
E8,MC4.1d.OE,ssa-miR-92b-3p,Unknown,30.63,0.017,,,,,77.20
E9,K4.1d.A,ssa-miR-92b-3p,Unknown,33.18,0.797,,,,,76.80
E10,K4.1d.A,ssa-miR-92b-3p,Unknown,34.31,0.797,,,,,77.20
E11,MC4.1d.A,ssa-miR-92b-3p,Unknown,31.45,0.026,,,,,77.20
E12,MC4.1d.A,ssa-miR-92b-3p,Unknown,31.49,0.026,,,,,76.80
F1,K3.1d.E,ssa-miR-92b-3p,Unknown,31.58,0.272,,,,,77.20
F2,K3.1d.E,ssa-miR-92b-3p,Unknown,31.20,0.272,,,,,76.80
F3,MC3.1d.E,ssa-miR-92b-3p,Unknown,28.22,0.050,,,,,77.50
F4,MC3.1d.E,ssa-miR-92b-3p,Unknown,28.15,0.050,,,,,77.20
F5,K3.1d.OE,ssa-miR-92b-3p,Unknown,30.10,0.075,,,,,77.20
F6,K3.1d.OE,ssa-miR-92b-3p,Unknown,29.99,0.075,,,,,77.20
F7,MC3.1d.OE,ssa-miR-92b-3p,Unknown,29.81,0.130,,,,,77.20
F8,MC3.1d.OE,ssa-miR-92b-3p,Unknown,30.00,0.130,,,,,77.20
F9,K3.1d.A,ssa-miR-92b-3p,Unknown,33.10,0.930,,,,,77.20
F10,K3.1d.A,ssa-miR-92b-3p,Unknown,34.41,0.930,,,,,77.20
F11,MC3.1d.A,ssa-miR-92b-3p,Unknown,32.44,0.621,,,,,76.80
F12,MC3.1d.A,ssa-miR-92b-3p,Unknown,31.56,0.621,,,,,76.50
G1,K2.1d.E,ssa-miR-92b-3p,Unknown,31.45,0.614,,,,,76.50
G2,K2.1d.E,ssa-miR-92b-3p,Unknown,32.32,0.614,,,,,77.20
G3,MC2.1d.E,ssa-miR-92b-3p,Unknown,29.19,0.005,,,,,77.20
G4,MC2.1d.E,ssa-miR-92b-3p,Unknown,29.20,0.005,,,,,77.20
G5,K2.1d.OE,ssa-miR-92b-3p,Unknown,29.46,0.054,,,,,77.20
G6,K2.1d.OE,ssa-miR-92b-3p,Unknown,29.54,0.054,,,,,77.20
G7,MC2.1d.OE,ssa-miR-92b-3p,Unknown,30.00,0.301,,,,,77.20
G8,MC2.1d.OE,ssa-miR-92b-3p,Unknown,29.58,0.301,,,,,77.20
G9,K2.1d.A,ssa-miR-92b-3p,Unknown,34.87,0.731,,,,,77.50
G10,K2.1d.A,ssa-miR-92b-3p,Unknown,33.84,0.731,,,,,76.80
G11,MC2.1d.A,ssa-miR-92b-3p,Unknown,32.38,0.238,,,,,76.50
G12,MC2.1d.A,ssa-miR-92b-3p,Unknown,32.72,0.238,,,,,76.50
H1,K1.1d.E,ssa-miR-92b-3p,Unknown,33.19,0.671,,,,,76.80
H2,K1.1d.E,ssa-miR-92b-3p,Unknown,32.24,0.671,,,,,76.50
H3,MC1.1d.E,ssa-miR-92b-3p,Unknown,27.22,0.019,,,,,77.20
H4,MC1.1d.E,ssa-miR-92b-3p,Unknown,27.19,0.019,,,,,77.20
H5,K1.1d.OE,ssa-miR-92b-3p,Unknown,29.81,0.061,,,,,77.20
H6,K1.1d.OE,ssa-miR-92b-3p,Unknown,29.89,0.061,,,,,77.20
H7,MC1.1d.OE,ssa-miR-92b-3p,Unknown,29.99,0.185,,,,,77.20
H8,MC1.1d.OE,ssa-miR-92b-3p,Unknown,29.73,0.185,,,,,76.80
H9,K1.1d.A,ssa-miR-92b-3p,Unknown,34.67,1.004,,,,,76.50
H10,K1.1d.A,ssa-miR-92b-3p,Unknown,33.25,1.004,,,,,76.80
H11,MC1.1d.A,ssa-miR-92b-3p,Unknown,31.52,0.212,,,,,76.80
H12,MC1.1d.A,ssa-miR-92b-3p,Unknown,31.22,0.212,,,,,76.50
