Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A12,NTC,RPL19,Unknown,36.82,,,,,,69.80
B1,INH48-W3,p53,Unknown,28.59,,,,,,81.70
B2,INH48-W3,p53,Unknown,Undetermined,,,,,,81.70
B3,INH48-W3,cdkn1a,Unknown,28.81,0.371,,,,,78.80
B4,INH48-W3,cdkn1a,Unknown,29.34,0.371,,,,,78.80
B5,INH48-W3,pcna,Unknown,27.06,0.267,,,,,82.70
B6,INH48-W3,pcna,Unknown,27.43,0.267,,,,,82.70
B9,INH48-W3,RPL19,Unknown,16.38,0.085,,,,,83.40
B10,INH48-W3,RPL19,Unknown,16.26,0.085,,,,,83.80
B12,NTC,pcna,Unknown,Undetermined,,,,,,65.70
C1,INH48-W2,p53,Unknown,30.63,2.204,,,,,80.60
C2,INH48-W2,p53,Unknown,27.52,2.204,,,,,82.00
C3,INH48-W2,cdkn1a,Unknown,27.20,0.009,,,,,78.80
C4,INH48-W2,cdkn1a,Unknown,27.19,0.009,,,,,79.20
C5,INH48-W2,pcna,Unknown,26.31,0.063,,,,,82.70
C6,INH48-W2,pcna,Unknown,26.22,0.063,,,,,82.30
C9,INH48-W2,RPL19,Unknown,15.93,0.182,,,,,83.80
C10,INH48-W2,RPL19,Unknown,16.19,0.182,,,,,83.80
C12,NTC,cdkn1a,Unknown,38.73,,,,,,72.60
D1,INH48-W1,p53,Unknown,30.15,0.865,,,,,81.70
D2,INH48-W1,p53,Unknown,28.93,0.865,,,,,82.00
D3,INH48-W1,cdkn1a,Unknown,31.21,0.399,,,,,79.20
D4,INH48-W1,cdkn1a,Unknown,30.65,0.399,,,,,78.80
D5,INH48-W1,pcna,Unknown,27.97,0.291,,,,,82.70
D6,INH48-W1,pcna,Unknown,28.39,0.291,,,,,82.30
D9,INH48-W1,RPL19,Unknown,16.80,0.016,,,,,83.80
D10,INH48-W1,RPL19,Unknown,16.82,0.016,,,,,83.80
D12,NTC,p53,Unknown,Undetermined,,,,,,66.40
E1,PBS48-W3,p53,Unknown,27.19,0.939,,,,,82.00
E2,PBS48-W3,p53,Unknown,27.10,0.939,,,,,82.30
E3,PBS48-W3,cdkn1a,Unknown,29.68,1.090,,,,,79.20
E4,PBS48-W3,cdkn1a,Unknown,29.84,1.090,,,,,79.20
E5,PBS48-W3,pcna,Unknown,26.47,0.477,,,,,83.10
E6,PBS48-W3,pcna,Unknown,26.69,0.477,,,,,82.70
E9,PBS48-W3,RPL19,Unknown,16.10,0.100,,,,,84.10
E10,PBS48-W3,RPL19,Unknown,16.32,0.100,,,,,83.80
F1,PBS48-W3,p53,Unknown,28.97,0.939,,,,,82.00
F2,PBS48-W3,p53,Unknown,28.50,0.939,,,,,82.30
F3,PBS48-W3,cdkn1a,Unknown,27.68,1.090,,,,,79.20
F4,PBS48-W3,cdkn1a,Unknown,28.12,1.090,,,,,79.20
F5,PBS48-W3,pcna,Unknown,27.48,0.477,,,,,83.10
F6,PBS48-W3,pcna,Unknown,27.27,0.477,,,,,83.10
F9,PBS48-W3,RPL19,Unknown,16.13,0.100,,,,,84.10
F10,PBS48-W3,RPL19,Unknown,16.23,0.100,,,,,83.80
G1,PBS48-W2,p53,Unknown,28.19,0.174,,,,,81.70
G2,PBS48-W2,p53,Unknown,28.44,0.174,,,,,82.00
G3,PBS48-W2,cdkn1a,Unknown,27.39,0.018,,,,,78.80
G4,PBS48-W2,cdkn1a,Unknown,27.42,0.018,,,,,78.80
G5,PBS48-W2,pcna,Unknown,26.88,0.001,,,,,82.30
G6,PBS48-W2,pcna,Unknown,26.88,0.001,,,,,82.70
G9,PBS48-W2,RPL19,Unknown,15.84,0.140,,,,,83.80
G10,PBS48-W2,RPL19,Unknown,16.04,0.140,,,,,83.80
H1,PBS48-W1,p53,Unknown,27.85,0.257,,,,,81.70
H2,PBS48-W1,p53,Unknown,27.49,0.257,,,,,82.00
H3,PBS48-W1,cdkn1a,Unknown,28.54,0.097,,,,,78.80
H4,PBS48-W1,cdkn1a,Unknown,28.40,0.097,,,,,78.80
H5,PBS48-W1,pcna,Unknown,26.13,0.268,,,,,82.30
H6,PBS48-W1,pcna,Unknown,26.50,0.268,,,,,82.30
H9,PBS48-W1,RPL19,Unknown,16.20,0.043,,,,,83.80
H10,PBS48-W1,RPL19,Unknown,16.26,0.043,,,,,83.40
