Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A12,NTC,RNU6-BIOT,Unknown,Undetermined,,,,,,65.80
B1,INH48-W3,ssa-miR-92b-3p,Unknown,27.17,0.611,,,,,75.50
B2,INH48-W3,ssa-miR-92b-3p,Unknown,26.31,0.611,,,,,75.90
B3,INH48-W3,mir-92a,Unknown,22.06,0.292,,,,,75.90
B4,INH48-W3,mir-92a,Unknown,22.48,0.292,,,,,75.90
B5,INH48-W3,ssa-miR-122-F-5p,Unknown,15.17,0.472,,,,,75.10
B6,INH48-W3,ssa-miR-122-F-5p,Unknown,14.50,0.472,,,,,75.50
B9,INH48-W3,RNU6-BIOT,Unknown,18.94,0.050,,,,,75.10
B10,INH48-W3,RNU6-BIOT,Unknown,18.87,0.050,,,,,75.10
B12,NTC,ssa-miR-122-F-5p,Unknown,Undetermined,,,,,,66.80
C1,INH48-W2,ssa-miR-92b-3p,Unknown,29.83,0.141,,,,,76.20
C2,INH48-W2,ssa-miR-92b-3p,Unknown,29.63,0.141,,,,,76.90
C3,INH48-W2,mir-92a,Unknown,26.96,0.871,,,,,75.50
C4,INH48-W2,mir-92a,Unknown,25.73,0.871,,,,,75.90
C5,INH48-W2,ssa-miR-122-F-5p,Unknown,14.94,0.403,,,,,75.50
C6,INH48-W2,ssa-miR-122-F-5p,Unknown,14.37,0.403,,,,,75.50
C9,INH48-W2,RNU6-BIOT,Unknown,16.96,0.403,,,,,75.50
C10,INH48-W2,RNU6-BIOT,Unknown,17.53,0.403,,,,,75.10
C12,NTC,mir-92a,Unknown,Undetermined,,,,,,66.50
D1,INH48-W1,ssa-miR-92b-3p,Unknown,28.55,0.108,,,,,75.90
D2,INH48-W1,ssa-miR-92b-3p,Unknown,28.71,0.108,,,,,76.20
D3,INH48-W1,mir-92a,Unknown,25.02,0.345,,,,,75.90
D4,INH48-W1,mir-92a,Unknown,24.53,0.345,,,,,75.90
D5,INH48-W1,ssa-miR-122-F-5p,Unknown,14.15,0.574,,,,,75.50
D6,INH48-W1,ssa-miR-122-F-5p,Unknown,13.34,0.574,,,,,75.50
D9,INH48-W1,RNU6-BIOT,Unknown,18.66,0.275,,,,,75.50
D10,INH48-W1,RNU6-BIOT,Unknown,18.27,0.275,,,,,75.50
D12,NTC,ssa-miR-92b-3p,Unknown,Undetermined,,,,,,66.80
E1,PBS48-W4,ssa-miR-92b-3p,Unknown,25.39,0.154,,,,,76.60
E2,PBS48-W4,ssa-miR-92b-3p,Unknown,25.17,0.154,,,,,76.90
E3,PBS48-W4,mir-92a,Unknown,23.05,0.238,,,,,76.60
E4,PBS48-W4,mir-92a,Unknown,22.72,0.238,,,,,76.60
E5,PBS48-W4,ssa-miR-122-F-5p,Unknown,14.17,0.069,,,,,75.90
E6,PBS48-W4,ssa-miR-122-F-5p,Unknown,14.08,0.069,,,,,75.90
E9,PBS48-W4,RNU6-BIOT,Unknown,18.13,0.112,,,,,75.50
E10,PBS48-W4,RNU6-BIOT,Unknown,17.97,0.112,,,,,75.10
F1,PBS48-W3,ssa-miR-92b-3p,Unknown,25.96,0.580,,,,,76.20
F2,PBS48-W3,ssa-miR-92b-3p,Unknown,25.14,0.580,,,,,76.90
F3,PBS48-W3,mir-92a,Unknown,22.82,0.013,,,,,76.60
F4,PBS48-W3,mir-92a,Unknown,22.80,0.013,,,,,76.60
F5,PBS48-W3,ssa-miR-122-F-5p,Unknown,14.21,0.034,,,,,75.90
F6,PBS48-W3,ssa-miR-122-F-5p,Unknown,14.26,0.034,,,,,75.50
F9,PBS48-W3,RNU6-BIOT,Unknown,17.82,0.426,,,,,75.50
F10,PBS48-W3,RNU6-BIOT,Unknown,17.22,0.426,,,,,75.10
G1,PBS48-W2,ssa-miR-92b-3p,Unknown,25.45,0.095,,,,,76.60
G2,PBS48-W2,ssa-miR-92b-3p,Unknown,25.58,0.095,,,,,76.60
G3,PBS48-W2,mir-92a,Unknown,23.25,0.085,,,,,76.20
G4,PBS48-W2,mir-92a,Unknown,23.37,0.085,,,,,76.20
G5,PBS48-W2,ssa-miR-122-F-5p,Unknown,14.82,0.260,,,,,75.50
G6,PBS48-W2,ssa-miR-122-F-5p,Unknown,14.45,0.260,,,,,75.50
G9,PBS48-W2,RNU6-BIOT,Unknown,18.12,0.269,,,,,75.10
G10,PBS48-W2,RNU6-BIOT,Unknown,18.50,0.269,,,,,75.10
H1,PBS48-W1,ssa-miR-92b-3p,Unknown,26.75,0.599,,,,,75.90
H2,PBS48-W1,ssa-miR-92b-3p,Unknown,25.90,0.599,,,,,76.20
H3,PBS48-W1,mir-92a,Unknown,22.94,0.006,,,,,75.90
H4,PBS48-W1,mir-92a,Unknown,22.95,0.006,,,,,75.90
H5,PBS48-W1,ssa-miR-122-F-5p,Unknown,15.16,0.383,,,,,75.10
H6,PBS48-W1,ssa-miR-122-F-5p,Unknown,14.62,0.383,,,,,75.10
H9,PBS48-W1,RNU6-BIOT,Unknown,18.46,0.047,,,,,75.10
H10,PBS48-W1,RNU6-BIOT,Unknown,18.39,0.047,,,,,74.80
