Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A1,INH24-w3,p53,Unknown,32.86,0.152,,,,,81.20
A2,INH24-w3,p53,Unknown,32.65,0.152,,,,,81.20
A3,INH24-w3,cdkn1a,Unknown,34.15,0.896,,,,,78.40
A4,INH24-w3,cdkn1a,Unknown,35.42,0.896,,,,,78.40
A5,INH24-w3,pcna,Unknown,29.09,0.261,,,,,82.20
A6,INH24-w3,pcna,Unknown,29.46,0.261,,,,,82.20
A9,INH24-w3,RPL19,Unknown,17.79,0.430,,,,,83.30
A10,INH24-w3,RPL19,Unknown,18.40,0.430,,,,,82.90
A12,NTC,RPL19,Unknown,Undetermined,,,,,,67.20
B1,INH24-w2,p53,Unknown,31.05,,,,,,81.20
B2,INH24-w2,p53,Unknown,Undetermined,,,,,,86.80
B3,INH24-w2,cdkn1a,Unknown,31.72,0.260,,,,,78.70
B4,INH24-w2,cdkn1a,Unknown,32.09,0.260,,,,,78.70
B5,INH24-w2,pcna,Unknown,27.81,0.188,,,,,82.60
B6,INH24-w2,pcna,Unknown,27.55,0.188,,,,,82.60
B9,INH24-w2,RPL19,Unknown,16.92,0.071,,,,,83.60
B10,INH24-w2,RPL19,Unknown,16.82,0.071,,,,,83.60
B12,NTC,pcna,Unknown,38.55,,,,,,72.40
C1,INH24-w1,p53,Unknown,29.35,0.148,,,,,81.90
C2,INH24-w1,p53,Unknown,29.14,0.148,,,,,81.90
C3,INH24-w1,cdkn1a,Unknown,32.47,0.994,,,,,78.40
C4,INH24-w1,cdkn1a,Unknown,31.06,0.994,,,,,79.10
C5,INH24-w1,pcna,Unknown,28.31,0.167,,,,,82.60
C6,INH24-w1,pcna,Unknown,28.07,0.167,,,,,82.60
C9,INH24-w1,RPL19,Unknown,17.29,0.167,,,,,83.60
C10,INH24-w1,RPL19,Unknown,17.06,0.167,,,,,83.60
C12,NTC,cdkn1a,Unknown,Undetermined,,,,,,82.20
D1,PBS24-w5,p53,Unknown,29.24,0.212,,,,,81.90
D2,PBS24-w5,p53,Unknown,28.94,0.212,,,,,82.20
D3,PBS24-w5,cdkn1a,Unknown,29.61,0.326,,,,,79.10
D4,PBS24-w5,cdkn1a,Unknown,29.15,0.326,,,,,79.10
D5,PBS24-w5,pcna,Unknown,27.81,0.007,,,,,82.90
D6,PBS24-w5,pcna,Unknown,27.82,0.007,,,,,82.90
D9,PBS24-w5,RPL19,Unknown,16.77,0.027,,,,,84.00
D10,PBS24-w5,RPL19,Unknown,16.73,0.027,,,,,83.60
D12,NTC,p53,Unknown,Undetermined,,,,,,66.20
E1,PBS24-w4,p53,Unknown,31.03,0.450,,,,,81.90
E2,PBS24-w4,p53,Unknown,30.40,0.450,,,,,82.20
E3,PBS24-w4,cdkn1a,Unknown,32.62,0.867,,,,,79.10
E4,PBS24-w4,cdkn1a,Unknown,31.40,0.867,,,,,79.10
E5,PBS24-w4,pcna,Unknown,28.73,0.073,,,,,82.90
E6,PBS24-w4,pcna,Unknown,28.63,0.073,,,,,82.90
E9,PBS24-w4,RPL19,Unknown,18.41,0.918,,,,,84.00
E10,PBS24-w4,RPL19,Unknown,18.42,0.918,,,,,83.60
F1,PBS24-w3,p53,Unknown,29.96,0.418,,,,,81.90
F2,PBS24-w3,p53,Unknown,29.37,0.418,,,,,81.90
F3,PBS24-w3,cdkn1a,Unknown,30.65,0.114,,,,,79.10
F4,PBS24-w3,cdkn1a,Unknown,30.82,0.114,,,,,79.10
F5,PBS24-w3,pcna,Unknown,27.60,0.215,,,,,82.90
F6,PBS24-w3,pcna,Unknown,27.30,0.215,,,,,82.90
F9,PBS24-w3,RPL19,Unknown,16.18,0.064,,,,,84.00
F10,PBS24-w3,RPL19,Unknown,16.27,0.064,,,,,83.60
G1,PBS24-w2,p53,Unknown,30.05,0.104,,,,,81.50
G2,PBS24-w2,p53,Unknown,29.90,0.104,,,,,81.90
G3,PBS24-w2,cdkn1a,Unknown,27.62,0.174,,,,,78.70
G4,PBS24-w2,cdkn1a,Unknown,27.87,0.174,,,,,78.70
G5,PBS24-w2,pcna,Unknown,26.93,0.046,,,,,82.60
G6,PBS24-w2,pcna,Unknown,26.86,0.046,,,,,82.60
G9,PBS24-w2,RPL19,Unknown,16.77,0.918,,,,,83.60
G10,PBS24-w2,RPL19,Unknown,16.89,0.918,,,,,83.60
H1,PBS24-w1,p53,Unknown,31.73,1.006,,,,,81.20
H2,PBS24-w1,p53,Unknown,30.31,1.006,,,,,81.50
H3,PBS24-w1,cdkn1a,Unknown,32.14,0.236,,,,,78.70
H4,PBS24-w1,cdkn1a,Unknown,31.80,0.236,,,,,78.70
H5,PBS24-w1,pcna,Unknown,27.60,0.065,,,,,82.60
H6,PBS24-w1,pcna,Unknown,27.69,0.065,,,,,82.60
H9,PBS24-w1,RPL19,Unknown,17.19,0.049,,,,,83.60
H10,PBS24-w1,RPL19,Unknown,17.26,0.049,,,,,83.30
