Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A1,INH24-w3,ssa-miR-92b-3p,Unknown,28.07,0.042,,,,,75.50
A2,INH24-w3,ssa-miR-92b-3p,Unknown,28.01,0.042,,,,,75.10
A3,INH24-w3,mir-92a,Unknown,24.87,0.401,,,,,75.10
A4,INH24-w3,mir-92a,Unknown,24.30,0.401,,,,,75.10
A5,INH24-w3,ssa-miR-122-F-5p,Unknown,15.54,0.010,,,,,74.40
A6,INH24-w3,ssa-miR-122-F-5p,Unknown,15.53,0.010,,,,,74.80
A9,INH24-w3,RNU6-BIOT,Unknown,17.13,0.246,,,,,74.40
A10,INH24-w3,RNU6-BIOT,Unknown,17.47,0.246,,,,,74.80
A12,NTC,RNU6-BIOT,Unknown,Undetermined,,,,,,65.70
B1,INH24-w2,ssa-miR-92b-3p,Unknown,30.72,,,,,,75.10
B2,INH24-w2,ssa-miR-92b-3p,Unknown,Undetermined,,,,,,88.50
B3,INH24-w2,mir-92a,Unknown,25.01,0.375,,,,,75.50
B4,INH24-w2,mir-92a,Unknown,25.54,0.375,,,,,75.50
B5,INH24-w2,ssa-miR-122-F-5p,Unknown,14.67,0.155,,,,,74.80
B6,INH24-w2,ssa-miR-122-F-5p,Unknown,14.45,0.155,,,,,74.40
B9,INH24-w2,RNU6-BIOT,Unknown,17.41,0.103,,,,,75.10
B10,INH24-w2,RNU6-BIOT,Unknown,17.26,0.103,,,,,74.80
B12,NTC,ssa-miR-122-F-5p,Unknown,Undetermined,,,,,,67.40
C1,INH24-w1,ssa-miR-92b-3p,Unknown,29.20,0.134,,,,,75.80
C2,INH24-w1,ssa-miR-92b-3p,Unknown,29.01,0.134,,,,,75.80
C3,INH24-w1,mir-92a,Unknown,26.38,1.007,,,,,75.50
C4,INH24-w1,mir-92a,Unknown,24.96,1.007,,,,,75.80
C5,INH24-w1,ssa-miR-122-F-5p,Unknown,14.56,0.349,,,,,74.80
C6,INH24-w1,ssa-miR-122-F-5p,Unknown,14.07,0.349,,,,,75.10
C9,INH24-w1,RNU6-BIOT,Unknown,16.56,0.720,,,,,74.80
C10,INH24-w1,RNU6-BIOT,Unknown,17.58,0.720,,,,,75.10
C12,NTC,mir-92a,Unknown,36.12,,,,,,73.00
D1,PBS24-w5,ssa-miR-92b-3p,Unknown,25.06,0.075,,,,,75.80
D2,PBS24-w5,ssa-miR-92b-3p,Unknown,24.96,0.075,,,,,76.20
D3,PBS24-w5,mir-92a,Unknown,22.50,0.149,,,,,75.80
D4,PBS24-w5,mir-92a,Unknown,22.29,0.149,,,,,75.80
D5,PBS24-w5,ssa-miR-122-F-5p,Unknown,14.42,0.562,,,,,75.10
D6,PBS24-w5,ssa-miR-122-F-5p,Unknown,13.63,0.562,,,,,75.50
D9,PBS24-w5,RNU6-BIOT,Unknown,16.36,0.139,,,,,75.10
D10,PBS24-w5,RNU6-BIOT,Unknown,16.16,0.139,,,,,74.80
D12,NTC,ssa-miR-92b-3p,Unknown,Undetermined,,,,,,66.10
E1,PBS24-w4,ssa-miR-92b-3p,Unknown,25.83,0.411,,,,,75.80
E2,PBS24-w4,ssa-miR-92b-3p,Unknown,25.25,0.411,,,,,76.20
E3,PBS24-w4,mir-92a,Unknown,22.98,0.261,,,,,76.20
E4,PBS24-w4,mir-92a,Unknown,22.61,0.261,,,,,76.20
E5,PBS24-w4,ssa-miR-122-F-5p,Unknown,14.52,0.069,,,,,75.10
E6,PBS24-w4,ssa-miR-122-F-5p,Unknown,14.62,0.069,,,,,75.10
E9,PBS24-w4,RNU6-BIOT,Unknown,16.94,0.373,,,,,75.10
E10,PBS24-w4,RNU6-BIOT,Unknown,16.60,0.373,,,,,75.10
F1,PBS24-w3,ssa-miR-92b-3p,Unknown,25.39,0.645,,,,,75.50
F2,PBS24-w3,ssa-miR-92b-3p,Unknown,24.48,0.645,,,,,76.20
F3,PBS24-w3,mir-92a,Unknown,22.37,0.380,,,,,75.80
F4,PBS24-w3,mir-92a,Unknown,21.83,0.380,,,,,75.80
F5,PBS24-w3,ssa-miR-122-F-5p,Unknown,13.99,0.179,,,,,75.10
F6,PBS24-w3,ssa-miR-122-F-5p,Unknown,14.25,0.179,,,,,75.10
F9,PBS24-w3,RNU6-BIOT,Unknown,16.42,0.220,,,,,75.10
F10,PBS24-w3,RNU6-BIOT,Unknown,16.11,0.220,,,,,75.10
G1,PBS24-w2,ssa-miR-92b-3p,Unknown,24.69,0.017,,,,,75.80
G2,PBS24-w2,ssa-miR-92b-3p,Unknown,24.71,0.017,,,,,76.20
G3,PBS24-w2,mir-92a,Unknown,22.08,0.083,,,,,75.80
G4,PBS24-w2,mir-92a,Unknown,21.96,0.083,,,,,75.80
G5,PBS24-w2,ssa-miR-122-F-5p,Unknown,13.93,0.303,,,,,74.80
G6,PBS24-w2,ssa-miR-122-F-5p,Unknown,13.51,0.303,,,,,75.10
G9,PBS24-w2,RNU6-BIOT,Unknown,16.10,0.373,,,,,75.10
G10,PBS24-w2,RNU6-BIOT,Unknown,16.82,0.373,,,,,74.80
H1,PBS24-w1,ssa-miR-92b-3p,Unknown,25.93,0.663,,,,,75.50
H2,PBS24-w1,ssa-miR-92b-3p,Unknown,24.99,0.663,,,,,75.50
H3,PBS24-w1,mir-92a,Unknown,22.41,0.187,,,,,75.10
H4,PBS24-w1,mir-92a,Unknown,22.15,0.187,,,,,75.10
H5,PBS24-w1,ssa-miR-122-F-5p,Unknown,14.17,0.388,,,,,74.80
H6,PBS24-w1,ssa-miR-122-F-5p,Unknown,13.62,0.388,,,,,74.80
H9,PBS24-w1,RNU6-BIOT,Unknown,17.23,0.209,,,,,74.80
H10,PBS24-w1,RNU6-BIOT,Unknown,16.93,0.209,,,,,74.40
