Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A12,NTC,RPL19,Unknown,35.34,,,,,,69.50
B1,INH0.5-24-W,p53,Unknown,29.37,,,,,,81.70
B2,INH0.5-24-W,p53,Unknown,Undetermined,,,,,,86.70
B3,INH0.5-24-W,cdkn1a,Unknown,26.24,0.206,,,,,78.90
B4,INH0.5-24-W,cdkn1a,Unknown,26.54,0.206,,,,,78.90
B5,INH0.5-24-W,pcna,Unknown,26.85,0.069,,,,,82.80
B6,INH0.5-24-W,pcna,Unknown,26.75,0.069,,,,,82.80
B9,INH0.5-24-W,RPL19,Unknown,16.50,0.014,,,,,83.80
B10,INH0.5-24-W,RPL19,Unknown,16.48,0.014,,,,,83.80
B12,NTC,pcna,Unknown,Undetermined,,,,,,65.80
C1,MIMAF24-W3,p53,Unknown,28.57,0.293,,,,,82.10
C2,MIMAF24-W3,p53,Unknown,28.15,0.293,,,,,82.10
C3,MIMAF24-W3,cdkn1a,Unknown,28.04,0.513,,,,,78.90
C4,MIMAF24-W3,cdkn1a,Unknown,27.31,0.513,,,,,79.30
C5,MIMAF24-W3,pcna,Unknown,26.13,0.004,,,,,82.80
C6,MIMAF24-W3,pcna,Unknown,26.12,0.004,,,,,82.80
C9,MIMAF24-W3,RPL19,Unknown,14.88,0.123,,,,,84.20
C10,MIMAF24-W3,RPL19,Unknown,15.06,0.123,,,,,83.80
C12,NTC,cdkn1a,Unknown,Undetermined,,,,,,73.00
D1,MIMAF24-W2,p53,Unknown,28.12,0.190,,,,,82.50
D2,MIMAF24-W2,p53,Unknown,27.85,0.190,,,,,82.50
D3,MIMAF24-W2,cdkn1a,Unknown,27.90,0.078,,,,,79.30
D4,MIMAF24-W2,cdkn1a,Unknown,27.79,0.078,,,,,79.30
D5,MIMAF24-W2,pcna,Unknown,25.94,0.273,,,,,83.20
D6,MIMAF24-W2,pcna,Unknown,26.33,0.273,,,,,83.20
D9,MIMAF24-W2,RPL19,Unknown,14.76,0.131,,,,,84.20
D10,MIMAF24-W2,RPL19,Unknown,14.94,0.131,,,,,83.80
D12,NTC,p53,Unknown,Undetermined,,,,,,68.50
E1,MIMAF24-W1,p53,Unknown,27.05,0.151,,,,,82.10
E2,MIMAF24-W1,p53,Unknown,26.84,0.151,,,,,82.50
E3,MIMAF24-W1,cdkn1a,Unknown,27.32,0.022,,,,,79.30
E4,MIMAF24-W1,cdkn1a,Unknown,27.29,0.022,,,,,79.30
E5,MIMAF24-W1,pcna,Unknown,26.24,0.052,,,,,83.20
E6,MIMAF24-W1,pcna,Unknown,26.32,0.052,,,,,83.20
E9,MIMAF24-W1,RPL19,Unknown,14.95,0.048,,,,,84.20
E10,MIMAF24-W1,RPL19,Unknown,15.01,0.048,,,,,83.80
F1,RES48-W3,p53,Unknown,26.82,0.095,,,,,82.10
F2,RES48-W3,p53,Unknown,26.69,0.095,,,,,82.50
F3,RES48-W3,cdkn1a,Unknown,28.09,0.043,,,,,79.30
F4,RES48-W3,cdkn1a,Unknown,28.15,0.043,,,,,79.30
F5,RES48-W3,pcna,Unknown,25.48,0.175,,,,,83.20
F6,RES48-W3,pcna,Unknown,25.23,0.175,,,,,83.20
F9,RES48-W3,RPL19,Unknown,14.61,0.191,,,,,84.20
F10,RES48-W3,RPL19,Unknown,14.88,0.191,,,,,83.80
G1,RES48-W2,p53,Unknown,28.39,0.289,,,,,81.70
G2,RES48-W2,p53,Unknown,27.98,0.289,,,,,82.10
G3,RES48-W2,cdkn1a,Unknown,27.87,0.098,,,,,78.90
G4,RES48-W2,cdkn1a,Unknown,27.74,0.098,,,,,79.30
G5,RES48-W2,pcna,Unknown,26.55,0.073,,,,,82.80
G6,RES48-W2,pcna,Unknown,26.45,0.073,,,,,82.80
G9,RES48-W2,RPL19,Unknown,15.05,0.023,,,,,83.80
G10,RES48-W2,RPL19,Unknown,15.02,0.023,,,,,83.80
H1,RES48-W1,p53,Unknown,25.88,0.050,,,,,81.70
H2,RES48-W1,p53,Unknown,25.81,0.050,,,,,82.10
H3,RES48-W1,cdkn1a,Unknown,25.56,0.094,,,,,78.90
H4,RES48-W1,cdkn1a,Unknown,25.69,0.094,,,,,78.90
H5,RES48-W1,pcna,Unknown,25.46,0.038,,,,,82.80
H6,RES48-W1,pcna,Unknown,25.51,0.038,,,,,82.50
H9,RES48-W1,RPL19,Unknown,14.96,0.175,,,,,83.80
H10,RES48-W1,RPL19,Unknown,15.20,0.175,,,,,83.50
