Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A1,PBS48-15M,ssa-miR-92b-3p,Unknown,24.54,0.205,,,,,75.60
A2,PBS48-16M,ssa-miR-92b-3p,Unknown,24.72,,,,,,75.60
A3,IVF48-8M,ssa-miR-92b-3p,Unknown,26.05,0.804,,,,,75.30
A4,IVF48-9M,ssa-miR-92b-3p,Unknown,25.93,0.570,,,,,75.30
A5,MIM1.0-24-1M,ssa-miR-92b-3p,Unknown,25.39,0.097,,,,,75.60
A6,MIM1.0-24-2M,ssa-miR-92b-3p,Unknown,24.51,0.490,,,,,76.00
A7,MIM1.0-48-4M,ssa-miR-92b-3p,Unknown,23.09,0.591,,,,,76.00
A8,MIM1.0-48-5M,ssa-miR-92b-3p,Unknown,24.80,0.555,,,,,75.60
A9,MIM0.3-48-6M,ssa-miR-92b-3p,Unknown,26.20,0.535,,,,,75.30
A10,MIM0.3-48-7M,ssa-miR-92b-3p,Unknown,24.52,0.768,,,,,75.30
B1,PBS48-15M,ssa-miR-92b-3p,Unknown,24.83,0.205,,,,,75.60
B2,PBS48-16M,ssa-miR-92b-3p,Unknown,Undetermined,,,,,,62.70
B3,IVF48-8M,ssa-miR-92b-3p,Unknown,24.91,0.804,,,,,76.00
B4,IVF48-9M,ssa-miR-92b-3p,Unknown,25.13,0.570,,,,,75.60
B5,MIM1.0-24-1M,ssa-miR-92b-3p,Unknown,25.26,0.097,,,,,75.60
B6,MIM1.0-24-2M,ssa-miR-92b-3p,Unknown,23.81,0.490,,,,,76.00
B7,MIM1.0-48-4M,ssa-miR-92b-3p,Unknown,23.93,0.591,,,,,76.00
B8,MIM1.0-48-5M,ssa-miR-92b-3p,Unknown,24.01,0.555,,,,,76.00
B9,MIM0.3-48-6M,ssa-miR-92b-3p,Unknown,25.44,0.535,,,,,75.30
B10,MIM0.3-48-7M,ssa-miR-92b-3p,Unknown,23.44,0.768,,,,,75.60
C1,PBS48-15M,dre-miR-124-3p-32nt,Unknown,17.13,0.063,,,,,76.00
C2,PBS48-16M,dre-miR-124-3p-32nt,Unknown,17.14,0.048,,,,,76.30
C3,IVF48-8M,dre-miR-124-3p-32nt,Unknown,22.93,0.598,,,,,75.60
C4,IVF48-9M,dre-miR-124-3p-32nt,Unknown,20.74,0.095,,,,,76.00
C5,MIM1.0-24-1M,dre-miR-124-3p-32nt,Unknown,20.83,0.196,,,,,76.00
C6,MIM1.0-24-2M,dre-miR-124-3p-32nt,Unknown,19.02,0.062,,,,,76.00
C7,MIM1.0-48-4M,dre-miR-124-3p-32nt,Unknown,18.49,0.210,,,,,76.00
C8,MIM1.0-48-5M,dre-miR-124-3p-32nt,Unknown,16.67,0.017,,,,,76.30
C9,MIM0.3-48-6M,dre-miR-124-3p-32nt,Unknown,22.48,0.029,,,,,75.60
C10,MIM0.3-48-7M,dre-miR-124-3p-32nt,Unknown,18.57,0.048,,,,,75.60
D1,PBS48-15M,dre-miR-124-3p-32nt,Unknown,17.04,0.063,,,,,76.70
D2,PBS48-16M,dre-miR-124-3p-32nt,Unknown,17.21,0.048,,,,,76.30
