Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A12,NTC,RNU6-BIOT,Unknown,Undetermined,,,,,,65.70
B1,INH0.5-24-W,ssa-miR-92b-3p,Unknown,25.10,,,,,,76.50
B2,INH0.5-24-W,ssa-miR-92b-3p,Unknown,Undetermined,,,,,,86.20
B3,INH0.5-24-W,mir-92a,Unknown,20.43,0.269,,,,,76.10
B4,INH0.5-24-W,mir-92a,Unknown,20.81,0.269,,,,,76.10
B5,INH0.5-24-W,ssa-miR-122-F-5p,Unknown,14.18,0.413,,,,,75.40
B6,INH0.5-24-W,ssa-miR-122-F-5p,Unknown,13.59,0.413,,,,,75.40
B9,INH0.5-24-W,RNU6-BIOT,Unknown,19.10,0.081,,,,,75.40
B10,INH0.5-24-W,RNU6-BIOT,Unknown,19.22,0.081,,,,,75.00
B12,NTC,ssa-miR-122-F-5p,Unknown,Undetermined,,,,,,66.00
C1,MIMAF24-W3,ssa-miR-92b-3p,Unknown,19.27,0.063,,,,,77.90
C2,MIMAF24-W3,ssa-miR-92b-3p,Unknown,19.18,0.063,,,,,77.50
C3,MIMAF24-W3,mir-92a,Unknown,21.85,0.434,,,,,76.80
C4,MIMAF24-W3,mir-92a,Unknown,21.23,0.434,,,,,77.20
C5,MIMAF24-W3,ssa-miR-122-F-5p,Unknown,14.18,0.296,,,,,75.80
C6,MIMAF24-W3,ssa-miR-122-F-5p,Unknown,13.76,0.296,,,,,75.80
C9,MIMAF24-W3,RNU6-BIOT,Unknown,16.35,0.205,,,,,75.40
C10,MIMAF24-W3,RNU6-BIOT,Unknown,16.64,0.205,,,,,75.40
C12,NTC,mir-92a,Unknown,Undetermined,,,,,,68.10
D1,MIMAF24-W2,ssa-miR-92b-3p,Unknown,19.43,0.162,,,,,77.50
D2,MIMAF24-W2,ssa-miR-92b-3p,Unknown,19.20,0.162,,,,,77.90
D3,MIMAF24-W2,mir-92a,Unknown,21.63,0.038,,,,,75.80
D4,MIMAF24-W2,mir-92a,Unknown,21.58,0.038,,,,,75.80
D5,MIMAF24-W2,ssa-miR-122-F-5p,Unknown,13.74,0.453,,,,,75.80
D6,MIMAF24-W2,ssa-miR-122-F-5p,Unknown,13.10,0.453,,,,,75.80
D9,MIMAF24-W2,RNU6-BIOT,Unknown,16.16,0.010,,,,,75.40
D10,MIMAF24-W2,RNU6-BIOT,Unknown,16.14,0.010,,,,,75.40
D12,NTC,ssa-miR-92b-3p,Unknown,Undetermined,,,,,,75.00
E1,MIMAF24-W1,ssa-miR-92b-3p,Unknown,18.84,0.047,,,,,77.90
E2,MIMAF24-W1,ssa-miR-92b-3p,Unknown,18.77,0.047,,,,,77.90
E3,MIMAF24-W1,mir-92a,Unknown,21.19,0.090,,,,,76.80
E4,MIMAF24-W1,mir-92a,Unknown,21.31,0.090,,,,,76.50
E5,MIMAF24-W1,ssa-miR-122-F-5p,Unknown,13.25,0.015,,,,,75.80
E6,MIMAF24-W1,ssa-miR-122-F-5p,Unknown,13.23,0.015,,,,,75.80
E9,MIMAF24-W1,RNU6-BIOT,Unknown,16.37,0.616,,,,,75.40
E10,MIMAF24-W1,RNU6-BIOT,Unknown,17.25,0.616,,,,,75.40
F1,RES48-W3,ssa-miR-92b-3p,Unknown,27.07,0.502,,,,,76.10
F2,RES48-W3,ssa-miR-92b-3p,Unknown,26.36,0.502,,,,,77.20
F3,RES48-W3,mir-92a,Unknown,22.93,0.048,,,,,76.10
F4,RES48-W3,mir-92a,Unknown,23.00,0.048,,,,,76.50
F5,RES48-W3,ssa-miR-122-F-5p,Unknown,13.44,0.312,,,,,75.80
F6,RES48-W3,ssa-miR-122-F-5p,Unknown,13.88,0.312,,,,,75.80
F9,RES48-W3,RNU6-BIOT,Unknown,17.05,0.131,,,,,75.40
F10,RES48-W3,RNU6-BIOT,Unknown,16.86,0.131,,,,,75.40
G1,RES48-W2,ssa-miR-92b-3p,Unknown,21.13,0.060,,,,,76.10
G2,RES48-W2,ssa-miR-92b-3p,Unknown,21.05,0.060,,,,,76.50
G3,RES48-W2,mir-92a,Unknown,21.90,0.128,,,,,76.50
G4,RES48-W2,mir-92a,Unknown,21.72,0.128,,,,,76.50
G5,RES48-W2,ssa-miR-122-F-5p,Unknown,13.36,0.076,,,,,75.80
G6,RES48-W2,ssa-miR-122-F-5p,Unknown,13.25,0.076,,,,,75.80
G9,RES48-W2,RNU6-BIOT,Unknown,15.61,0.504,,,,,75.40
G10,RES48-W2,RNU6-BIOT,Unknown,16.32,0.504,,,,,75.40
H1,RES48-W1,ssa-miR-92b-3p,Unknown,23.56,0.778,,,,,75.80
H2,RES48-W1,ssa-miR-92b-3p,Unknown,22.46,0.778,,,,,76.10
H3,RES48-W1,mir-92a,Unknown,24.37,0.049,,,,,75.80
H4,RES48-W1,mir-92a,Unknown,24.30,0.049,,,,,75.80
H5,RES48-W1,ssa-miR-122-F-5p,Unknown,13.49,0.067,,,,,75.40
H6,RES48-W1,ssa-miR-122-F-5p,Unknown,13.39,0.067,,,,,75.40
H9,RES48-W1,RNU6-BIOT,Unknown,16.72,0.164,,,,,75.00
H10,RES48-W1,RNU6-BIOT,Unknown,16.95,0.164,,,,,75.00
