Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A1,K1,GFAP.mRNA.oligo(dT),Unknown,18.76,0.118,,,,,78.30
A2,K2,GFAP.mRNA.oligo(dT),Unknown,17.82,0.178,,,,,78.30
A3,K7,GFAP.mRNA.oligo(dT),Unknown,18.12,0.082,,,,,78.30
A4,K4,GFAP.mRNA.oligo(dT),Unknown,17.45,0.088,,,,,78.30
A5,K5,GFAP.mRNA.oligo(dT),Unknown,18.16,0.060,,,,,78.30
A6,K6,GFAP.mRNA.oligo(dT),Unknown,18.27,0.159,,,,,78.30
A7,MC1,GFAP.mRNA.oligo(dT),Unknown,18.03,0.071,,,,,78.30
A8,MC8,GFAP.mRNA.oligo(dT),Unknown,22.64,0.309,,,,,78.30
A9,MC7,GFAP.mRNA.oligo(dT),Unknown,18.12,0.028,,,,,78.00
A10,MC4,GFAP.mRNA.oligo(dT),Unknown,18.07,0.111,,,,,78.00
A11,MC5,GFAP.mRNA.oligo(dT),Unknown,18.12,0.024,,,,,78.00
A12,MC6,GFAP.mRNA.oligo(dT),Unknown,18.27,0.067,,,,,78.00
B1,K1,GFAP.mRNA.oligo(dT),Unknown,18.59,0.118,,,,,78.30
B2,K2,GFAP.mRNA.oligo(dT),Unknown,18.07,0.178,,,,,78.30
B3,K7,GFAP.mRNA.oligo(dT),Unknown,18.24,0.082,,,,,78.30
B4,K4,GFAP.mRNA.oligo(dT),Unknown,17.57,0.088,,,,,78.30
B5,K5,GFAP.mRNA.oligo(dT),Unknown,18.24,0.060,,,,,78.70
B6,K6,GFAP.mRNA.oligo(dT),Unknown,18.50,0.159,,,,,78.30
B7,MC1,GFAP.mRNA.oligo(dT),Unknown,18.13,0.071,,,,,78.70
B8,MC8,GFAP.mRNA.oligo(dT),Unknown,23.08,0.309,,,,,78.30
B9,MC7,GFAP.mRNA.oligo(dT),Unknown,18.08,0.028,,,,,78.30
B10,MC4,GFAP.mRNA.oligo(dT),Unknown,18.23,0.111,,,,,78.30
B11,MC5,GFAP.mRNA.oligo(dT),Unknown,18.15,0.024,,,,,78.00
B12,MC6,GFAP.mRNA.oligo(dT),Unknown,18.37,0.067,,,,,78.00
C1,K1,omy-miR-124,Unknown,19.03,0.027,,,,,75.30
C2,K2,omy-miR-124,Unknown,18.14,0.072,,,,,80.70
C3,K3,omy-miR-124,Unknown,18.65,0.037,,,,,75.60
C4,K4,omy-miR-124,Unknown,17.87,0.000,,,,,80.70
C5,K5,omy-miR-124,Unknown,18.49,0.199,,,,,80.70
C6,K6,omy-miR-124,Unknown,18.75,0.248,,,,,80.70
C7,MC1,omy-miR-124,Unknown,18.01,0.206,,,,,75.60
C8,MC8,omy-miR-124,Unknown,19.51,0.133,,,,,80.70
C9,MC7,omy-miR-124,Unknown,18.36,0.012,,,,,80.70
C10,MC4,omy-miR-124,Unknown,17.56,0.150,,,,,80.40
C11,MC5,omy-miR-124,Unknown,17.99,0.147,,,,,80.40
C12,MC6,omy-miR-124,Unknown,17.98,0.102,,,,,80.00
D1,K1,omy-miR-124,Unknown,18.99,0.027,,,,,75.60
D2,K2,omy-miR-124,Unknown,18.24,0.072,,,,,80.70
D3,K3,omy-miR-124,Unknown,18.60,0.037,,,,,75.60
D4,K4,omy-miR-124,Unknown,17.87,0.000,,,,,81.00
D5,K5,omy-miR-124,Unknown,18.21,0.199,,,,,81.00
D6,K6,omy-miR-124,Unknown,19.10,0.248,,,,,80.70
D7,MC1,omy-miR-124,Unknown,18.30,0.206,,,,,75.60
D8,MC8,omy-miR-124,Unknown,19.70,0.133,,,,,80.70
D9,MC7,omy-miR-124,Unknown,18.35,0.012,,,,,80.70
D10,MC4,omy-miR-124,Unknown,17.77,0.150,,,,,80.40
D11,MC5,omy-miR-124,Unknown,18.20,0.147,,,,,80.40
D12,MC6,omy-miR-124,Unknown,18.12,0.102,,,,,80.00
E1,K1,omy-miR-125b,Unknown,19.10,0.181,,,,,75.60
E2,K2,omy-miR-125b,Unknown,17.51,0.008,,,,,75.60
E3,K7,omy-miR-125b,Unknown,18.05,0.051,,,,,75.60
E4,K4,omy-miR-125b,Unknown,17.81,0.266,,,,,75.60
E5,K5,omy-miR-125b,Unknown,18.03,0.001,,,,,75.60
E6,K6,omy-miR-125b,Unknown,18.83,0.094,,,,,75.60
E7,MC1,omy-miR-125b,Unknown,18.54,0.215,,,,,75.60
E8,MC8,omy-miR-125b,Unknown,18.92,0.197,,,,,75.60
E9,MC7,omy-miR-125b,Unknown,18.03,0.147,,,,,75.60
E10,MC4,omy-miR-125b,Unknown,17.51,0.096,,,,,75.30
E11,MC5,omy-miR-125b,Unknown,17.57,0.113,,,,,75.00
E12,MC6,omy-miR-125b,Unknown,17.53,0.002,,,,,75.00
F1,K1,omy-miR-125b,Unknown,18.84,0.181,,,,,75.30
F2,K2,omy-miR-125b,Unknown,17.52,0.008,,,,,75.60
F3,K7,omy-miR-125b,Unknown,17.98,0.051,,,,,75.60
F4,K4,omy-miR-125b,Unknown,18.18,0.266,,,,,75.60
F5,K5,omy-miR-125b,Unknown,18.03,0.001,,,,,75.60
F6,K6,omy-miR-125b,Unknown,18.70,0.094,,,,,75.60
F7,MC1,omy-miR-125b,Unknown,18.24,0.215,,,,,75.60
F8,MC8,omy-miR-125b,Unknown,18.64,0.197,,,,,75.60
F9,MC7,omy-miR-125b,Unknown,18.23,0.147,,,,,75.30
F10,MC4,omy-miR-125b,Unknown,17.37,0.096,,,,,75.30
F11,MC5,omy-miR-125b,Unknown,17.73,0.113,,,,,75.00
F12,MC6,omy-miR-125b,Unknown,17.53,0.002,,,,,75.00
