Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A1,PBS24-10s,ssa-miR-92b-3p,Unknown,31.13,0.167,,,,,76.60
A2,PBS24-11s,ssa-miR-92b-3p,Unknown,30.76,,,,,,77.00
A3,MIM1.0-24-1s,ssa-miR-92b-3p,Unknown,27.03,0.876,,,,,77.00
A4,MIM1.0-24-2S,ssa-miR-92b-3p,Unknown,30.50,0.690,,,,,75.90
A5,PBS48-17S,ssa-miR-92b-3p,Unknown,30.31,0.256,,,,,76.20
A6,PBS48-19S,ssa-miR-92b-3p,Unknown,32.23,0.784,,,,,77.00
A7,IVF48-8S,ssa-miR-92b-3p,Unknown,28.78,0.647,,,,,77.00
A8,IVF48-9S,ssa-miR-92b-3p,Unknown,30.76,1.155,,,,,76.60
A9,MIM0.3-48-6S,ssa-miR-92b-3p,Unknown,27.61,0.408,,,,,77.00
A10,MIM0.3-48-7S,ssa-miR-92b-3p,Unknown,28.20,0.771,,,,,76.20
A11,MIM1.0-48-3S,ssa-miR-92b-3p,Unknown,31.77,1.438,,,,,76.20
A12,MIM1.0-48-4S,ssa-miR-92b-3p,Unknown,32.74,0.594,,,,,76.20
B1,PBS24-10s,ssa-miR-92b-3p,Unknown,30.89,0.167,,,,,76.60
B2,PBS24-11s,ssa-miR-92b-3p,Unknown,Undetermined,,,,,,85.10
B3,MIM1.0-24-1s,ssa-miR-92b-3p,Unknown,25.79,0.876,,,,,77.30
B4,MIM1.0-24-2S,ssa-miR-92b-3p,Unknown,29.52,0.690,,,,,76.20
B5,PBS48-17S,ssa-miR-92b-3p,Unknown,29.95,0.256,,,,,76.20
B6,PBS48-19S,ssa-miR-92b-3p,Unknown,31.12,0.784,,,,,77.00
B7,IVF48-8S,ssa-miR-92b-3p,Unknown,29.69,0.647,,,,,77.30
B8,IVF48-9S,ssa-miR-92b-3p,Unknown,29.13,1.155,,,,,77.30
B9,MIM0.3-48-6S,ssa-miR-92b-3p,Unknown,27.03,0.408,,,,,77.30
B10,MIM0.3-48-7S,ssa-miR-92b-3p,Unknown,27.11,0.771,,,,,76.60
B11,MIM1.0-48-3S,ssa-miR-92b-3p,Unknown,29.73,1.438,,,,,77.00
B12,MIM1.0-48-4S,ssa-miR-92b-3p,Unknown,31.90,0.594,,,,,76.60
C1,PBS24-10s,RNU6-BIOT,Unknown,26.14,0.046,,,,,75.20
C2,PBS24-11s,RNU6-BIOT,Unknown,25.45,0.542,,,,,75.20
C3,MIM1.0-24-1s,RNU6-BIOT,Unknown,26.23,0.120,,,,,75.20
C4,MIM1.0-24-2S,RNU6-BIOT,Unknown,26.43,0.057,,,,,75.50
C5,PBS48-17S,RNU6-BIOT,Unknown,25.97,0.089,,,,,75.50
C6,PBS48-19S,RNU6-BIOT,Unknown,26.03,0.214,,,,,75.50
C7,IVF48-8S,RNU6-BIOT,Unknown,24.82,0.329,,,,,75.50
C8,IVF48-9S,RNU6-BIOT,Unknown,25.46,0.070,,,,,75.50
C9,MIM0.3-48-6S,RNU6-BIOT,Unknown,30.37,3.264,,,,,74.80
C10,MIM0.3-48-7S,RNU6-BIOT,Unknown,26.33,0.297,,,,,75.20
C11,MIM1.0-48-3S,RNU6-BIOT,Unknown,24.46,0.096,,,,,74.80
C12,MIM1.0-48-4S,RNU6-BIOT,Unknown,24.95,0.155,,,,,74.50
D1,PBS24-10s,RNU6-BIOT,Unknown,26.20,0.046,,,,,75.50
D2,PBS24-11s,RNU6-BIOT,Unknown,26.22,0.542,,,,,75.50
D3,MIM1.0-24-1s,RNU6-BIOT,Unknown,26.40,0.120,,,,,75.90
D4,MIM1.0-24-2S,RNU6-BIOT,Unknown,26.51,0.057,,,,,75.90
D5,PBS48-17S,RNU6-BIOT,Unknown,26.09,0.089,,,,,75.90
D6,PBS48-19S,RNU6-BIOT,Unknown,26.34,0.214,,,,,75.90
D7,IVF48-8S,RNU6-BIOT,Unknown,25.28,0.329,,,,,75.90
D8,IVF48-9S,RNU6-BIOT,Unknown,25.36,0.070,,,,,75.50
D9,MIM0.3-48-6S,RNU6-BIOT,Unknown,25.76,3.264,,,,,75.50
D10,MIM0.3-48-7S,RNU6-BIOT,Unknown,25.91,0.297,,,,,75.20
D11,MIM1.0-48-3S,RNU6-BIOT,Unknown,24.59,0.096,,,,,75.20
D12,MIM1.0-48-4S,RNU6-BIOT,Unknown,25.17,0.155,,,,,74.80
E1,PBS24-11X,ssa-miR-92b-3p,Unknown,26.35,0.044,,,,,77.00
E2,PBS24-13X,ssa-miR-92b-3p,Unknown,27.67,0.041,,,,,77.30
E3,MIM1.0-24-1X,ssa-miR-92b-3p,Unknown,19.22,0.119,,,,,77.30
E4,PBS48-18X,ssa-miR-92b-3p,Unknown,28.69,0.120,,,,,77.70
E5,PBS48-15X,ssa-miR-92b-3p,Unknown,27.61,0.154,,,,,77.30
E6,IVF48-9X,ssa-miR-92b-3p,Unknown,27.79,0.132,,,,,77.70
E7,IVF48-8X,ssa-miR-92b-3p,Unknown,28.18,0.001,,,,,77.30
E8,MIM0.3-48-6X,ssa-miR-92b-3p,Unknown,19.58,0.191,,,,,77.30
E9,MIM03.-48-7X,ssa-miR-92b-3p,Unknown,17.32,0.191,,,,,76.60
E10,MIM1.0-48-3X,ssa-miR-92b-3p,Unknown,25.28,0.022,,,,,76.60
E11,MIM1.0-48-4X,ssa-miR-92b-3p,Unknown,26.88,0.061,,,,,76.60
F1,PBS24-11X,ssa-miR-92b-3p,Unknown,26.42,0.044,,,,,77.00
F2,PBS24-13X,ssa-miR-92b-3p,Unknown,27.61,0.041,,,,,77.30
F3,MIM1.0-24-1X,ssa-miR-92b-3p,Unknown,19.39,0.119,,,,,77.30
F4,PBS48-18X,ssa-miR-92b-3p,Unknown,28.52,0.120,,,,,77.30
F5,PBS48-15X,ssa-miR-92b-3p,Unknown,27.39,0.154,,,,,77.70
F6,IVF48-9X,ssa-miR-92b-3p,Unknown,27.97,0.132,,,,,77.30
F7,IVF48-8X,ssa-miR-92b-3p,Unknown,28.18,0.001,,,,,77.30
F8,MIM0.3-48-6X,ssa-miR-92b-3p,Unknown,19.85,0.191,,,,,77.30
F9,MIM03.-48-7X,ssa-miR-92b-3p,Unknown,17.59,0.191,,,,,76.60
F10,MIM1.0-48-3X,ssa-miR-92b-3p,Unknown,25.31,0.022,,,,,76.60
F11,MIM1.0-48-4X,ssa-miR-92b-3p,Unknown,26.80,0.061,,,,,77.00
G1,PBS24-11X,RNU6-BIOT,Unknown,18.99,0.123,,,,,75.20
G2,PBS24-13X,RNU6-BIOT,Unknown,21.28,0.055,,,,,75.20
G3,MIM1.0-24-1X,RNU6-BIOT,Unknown,21.70,0.354,,,,,75.50
G4,PBS48-18X,RNU6-BIOT,Unknown,21.71,0.017,,,,,75.50
G5,PBS48-15X,RNU6-BIOT,Unknown,20.45,0.325,,,,,75.50
G6,IVF48-9X,RNU6-BIOT,Unknown,20.77,0.251,,,,,75.50
G7,IVF48-8X,RNU6-BIOT,Unknown,21.24,0.062,,,,,75.50
G8,MIM0.3-48-6X,RNU6-BIOT,Unknown,22.08,0.014,,,,,75.50
G9,MIM03.-48-7X,RNU6-BIOT,Unknown,19.98,0.503,,,,,75.20
G10,MIM1.0-48-3X,RNU6-BIOT,Unknown,19.82,0.155,,,,,75.20
G11,MIM1.0-48-4X,RNU6-BIOT,Unknown,20.31,0.334,,,,,74.80
G12,NTC,ssa-miR-92b-3p,Unknown,Undetermined,,,,,,66.20
H1,PBS24-11X,RNU6-BIOT,Unknown,18.82,0.123,,,,,75.20
H2,PBS24-13X,RNU6-BIOT,Unknown,21.36,0.055,,,,,75.20
H3,MIM1.0-24-1X,RNU6-BIOT,Unknown,22.20,0.354,,,,,75.20
H4,PBS48-18X,RNU6-BIOT,Unknown,21.69,0.017,,,,,75.20
H5,PBS48-15X,RNU6-BIOT,Unknown,20.91,0.325,,,,,75.20
H6,IVF48-9X,RNU6-BIOT,Unknown,21.12,0.251,,,,,75.20
H7,IVF48-8X,RNU6-BIOT,Unknown,21.33,0.062,,,,,75.20
H8,MIM0.3-48-6X,RNU6-BIOT,Unknown,22.06,0.014,,,,,75.20
H9,MIM03.-48-7X,RNU6-BIOT,Unknown,20.69,0.503,,,,,75.20
H10,MIM1.0-48-3X,RNU6-BIOT,Unknown,20.04,0.155,,,,,74.80
H11,MIM1.0-48-4X,RNU6-BIOT,Unknown,20.79,0.334,,,,,74.80
H12,NTC,RNU6-BIOT,Unknown,Undetermined,,,,,,65.80
